"2024-06";"3.0701";"2.5445";"3.372";"5.1727";"0.2009";"0.6672";"0.0969";"4.9766";"5.879";"0.012609";"0.029313";"0.2598";"0.4357";"1.1516";"0.0527";"0.4409";"-";"0.142";"4.6235";"0.2509";"0.8599";"0.6373";"0.0554";"0.003351";"0.254";"2.8365";"0.0425";"0.1142";"1.2588";"-";"0.1259";"-";"-";"-";"-";"-";"-";"-";"345.7435";"6.1035";"3.0942";"2.5447";"3.3947";"5.1718";"0.1989";"0.6674";"0.0968";"4.9771";"5.88";"0.012603";"0.02893";"0.2594";"0.4368";"1.155";"0.0544";"0.4378";"-";"0.1416";"4.6489";"0.2556";"0.845";"0.64";"0.0558";"0.003378";"0.2533";"2.8267";"0.0425";"0.1149";"1.2657";"-";"0.1265";"-";"-";"-";"-";"-";"-";"-";"348.2404";"6.1162"
"2024-05";"3.0485";"2.544";"3.3647";"5.0583";"0.2007";"0.6669";"0.0975";"4.9758";"5.8158";"0.012855";"0.029464";"0.2595";"0.4292";"1.1637";"0.0507";"0.4282";"-";"0.1428";"4.6001";"0.2499";"0.8948";"0.6359";"0.0552";"0.00337";"0.2743";"2.7939";"0.0425";"0.1155";"1.2524";"-";"0.1256";"-";"-";"-";"-";"-";"-";"-";"348.3943";"6.085";"3.0493";"2.5445";"3.3625";"5.0656";"0.2013";"0.6672";"0.0971";"4.9767";"5.8378";"0.012796";"0.029185";"0.2599";"0.4363";"1.1674";"0.0508";"0.4349";"-";"0.1428";"4.5898";"0.244";"0.882";"0.6338";"0.055";"0.003317";"0.2698";"2.813";"0.0425";"0.113";"1.2496";"-";"0.1248";"-";"-";"-";"-";"-";"-";"-";"345.6579";"6.0753"
"2024-04";"3.0187";"2.5426";"3.3926";"5.0959";"0.1967";"0.6667";"0.0969";"4.973";"5.8064";"0.012668";"0.030155";"0.2605";"0.4256";"1.1558";"0.0498";"0.4292";"-";"0.1434";"4.634";"0.2457";"0.9055";"0.6402";"0.0556";"0.003386";"0.2764";"2.7637";"0.0425";"0.1177";"1.2618";"-";"0.1261";"-";"-";"-";"-";"-";"-";"-";"347.6038";"6.1168";"3.0287";"2.5441";"3.3885";"5.0891";"0.1977";"0.6672";"0.0968";"4.9759";"5.8194";"0.012736";"0.029563";"0.2606";"0.4212";"1.1508";"0.0496";"0.423";"-";"0.1434";"4.6361";"0.2481";"0.9058";"0.6404";"0.0556";"0.003359";"0.2729";"2.7588";"0.0425";"0.1174";"1.2622";"-";"0.1251";"-";"-";"-";"-";"-";"-";"-";"345.2064";"6.1122"
"2024-03";"2.998";"2.5415";"3.3775";"5.1472";"0.1965";"0.6666";"0.1029";"4.9709";"5.8127";"0.012583";"0.030541";"0.2583";"0.4312";"1.1542";"0.0498";"0.4393";"-";"0.1427";"4.5735";"0.2425";"0.9185";"0.635";"0.0551";"0.003433";"0.2725";"2.7814";"0.0424";"0.118";"1.2453";"-";"0.1272";"-";"-";"-";"-";"-";"-";"-";"317.9785";"6.081";"3.0018";"2.5409";"3.4003";"5.1124";"0.1965";"0.6662";"0.0972";"4.9695";"5.8126";"0.012621";"0.030461";"0.2612";"0.4239";"1.156";"0.0498";"0.4304";"-";"0.1429";"4.6078";"0.244";"0.9188";"0.6382";"0.0553";"0.00342";"0.2781";"2.754";"0.0424";"0.1182";"1.2549";"-";"0.1267";"-";"-";"-";"-";"-";"-";"-";"330.7911";"6.1027"
"2024-02";"3.0087";"2.5436";"3.4164";"5.2587";"0.1972";"0.6673";"0.1492";"4.9748";"5.8216";"0.012824";"0.030837";"0.2583";"0.4368";"1.1496";"0.0502";"0.4421";"-";"0.1497";"4.6097";"0.2426";"0.9291";"0.6408";"0.0555";"0.003461";"0.2699";"2.8233";"0.0425";"0.1212";"1.2551";"-";"0.1286";"-";"-";"-";"-";"-";"-";"-";"300.1986";"6.1146";"2.9766";"2.5406";"3.3717";"5.2072";"0.1959";"0.6666";"0.1483";"4.969";"5.8022";"0.012634";"0.030537";"0.2577";"0.4317";"1.1501";"0.0504";"0.4434";"-";"0.1467";"4.5823";"0.2385";"0.9224";"0.6368";"0.0553";"0.003429";"0.2686";"2.7879";"0.0424";"0.1205";"1.2476";"-";"0.1276";"-";"-";"-";"-";"-";"-";"-";"299.2209";"6.0866"
"2024-01";"3.0297";"2.5436";"3.4007";"5.3128";"0.2013";"0.6671";"0.1477";"4.9748";"5.7955";"0.013026";"0.031199";"0.2577";"0.4385";"1.1396";"0.0512";"0.4408";"-";"0.1516";"4.564";"0.2426";"0.929";"0.6362";"0.0549";"0.003438";"0.2674";"2.8165";"0.0424";"0.1206";"1.2426";"-";"0.1296";"-";"-";"-";"-";"-";"-";"-";"298.3549";"6.0859";"3.0233";"2.5441";"3.4223";"5.319";"0.2003";"0.6674";"0.1487";"4.9759";"5.8235";"0.012929";"0.031092";"0.2587";"0.4387";"1.1471";"0.0512";"0.4413";"-";"0.1514";"4.5962";"0.2452";"0.9285";"0.6403";"0.0553";"0.003445";"0.2684";"2.8123";"0.0425";"0.1227";"1.2514";"-";"0.1295";"-";"-";"-";"-";"-";"-";"-";"301.0282";"6.1103"
"2023-12";"3.0471";"2.5413";"3.3926";"5.2663";"0.2031";"0.6667";"0.1475";"4.9704";"5.7679";"0.013012";"0.031657";"0.2575";"0.4316";"1.1476";"0.0501";"0.444";"-";"0.1567";"4.558";"0.2445";"0.9298";"0.6381";"0.0547";"0.003491";"0.265";"2.8323";"0.0424";"0.1226";"1.2411";"-";"0.1302";"-";"-";"-";"-";"-";"-";"-";"297.8991";"6.0868";"3.0588";"2.5434";"3.3913";"5.3666";"0.2013";"0.6675";"0.1454";"4.9746";"5.7225";"0.012995";"0.031735";"0.257";"0.4428";"1.1444";"0.05";"0.4492";"-";"0.1528";"4.4958";"0.2429";"0.9265";"0.6322";"0.054";"0.00346";"0.265";"2.8384";"0.0425";"0.1182";"1.2241";"-";"0.1309";"-";"-";"-";"-";"-";"-";"-";"298.2747";"6.0432"
"2023-11";"2.9867";"2.5412";"3.3535";"5.1581";"0.2029";"0.6664";"0.1489";"4.9702";"5.7085";"0.01311";"0.030701";"0.257";"0.4211";"1.1282";"0.0509";"0.4302";"-";"0.1607";"4.6035";"0.2485";"0.9386";"0.6367";"0.0553";"0.003518";"0.2647";"2.7542";"0.0424";"0.1273";"1.2534";"-";"0.1297";"-";"-";"-";"-";"-";"-";"-";"293.2341";"6.0938";"3.0003";"2.5424";"3.3338";"5.1634";"0.2047";"0.6669";"0.1466";"4.9726";"5.7463";"0.01315";"0.030662";"0.2543";"0.4252";"1.1455";"0.051";"0.4374";"-";"0.1566";"4.5313";"0.2445";"0.9302";"0.6357";"0.0544";"0.003506";"0.2641";"2.7852";"0.0424";"0.1245";"1.2339";"-";"0.13";"-";"-";"-";"-";"-";"-";"-";"296.871";"6.0543"
"2023-10";"2.9863";"2.5402";"3.4325";"5.2022";"0.2021";"0.666";"0.1522";"4.9682";"5.7226";"0.01289";"0.031438";"0.2587";"0.4277";"1.1004";"0.0485";"0.4267";"-";"0.1687";"4.7027";"0.2468";"0.9289";"0.6434";"0.0565";"0.00348";"0.2604";"2.7735";"0.0424";"0.1288";"1.2803";"-";"0.1288";"-";"-";"-";"-";"-";"-";"-";"289.1311";"6.1689";"2.9659";"2.5395";"3.3705";"5.1639";"0.2024";"0.6654";"0.1507";"4.9669";"5.6781";"0.013001";"0.03091";"0.2584";"0.419";"1.1162";"0.0505";"0.4199";"-";"0.1647";"4.6585";"0.2487";"0.9227";"0.6368";"0.056";"0.003456";"0.2588";"2.725";"0.0424";"0.1285";"1.2683";"-";"0.1296";"-";"-";"-";"-";"-";"-";"-";"299.3492";"6.125"
"2023-09";"2.9858";"2.5389";"3.4331";"5.1743";"0.2037";"0.666";"0.1503";"4.9657";"5.7626";"0.012844";"0.031462";"0.2578";"0.4334";"1.0799";"0.0481";"0.4194";"-";"0.172";"4.647";"0.2449";"0.9403";"0.6368";"0.056";"0.003483";"0.2688";"2.756";"0.0424";"0.1258";"1.2652";"-";"0.1296";"-";"-";"-";"-";"-";"-";"-";"286.6218";"6.1319";"3.0414";"2.5434";"3.4896";"5.1446";"0.2041";"0.6671";"0.1517";"4.9746";"5.7433";"0.012709";"0.031424";"0.26";"0.4418";"1.0726";"0.0481";"0.4329";"-";"0.1707";"4.6864";"0.2497";"0.931";"0.6418";"0.0564";"0.003485";"0.2691";"2.8303";"0.0425";"0.1269";"1.2759";"-";"0.1286";"-";"-";"-";"-";"-";"-";"-";"282.2442";"6.1616"
"2023-08";"2.9378";"2.5262";"3.361";"5.1542";"0.2049";"0.663";"0.1466";"4.9409";"5.7535";"0.01283";"0.031297";"0.2548";"0.4329";"1.1079";"0.0475";"0.4183";"-";"0.168";"4.5294";"0.2415";"0.9254";"0.6247";"0.0547";"0.003426";"0.2669";"2.7161";"0.0422";"0.1228";"1.2332";"-";"0.1294";"-";"-";"-";"-";"-";"-";"-";"279.7915";"6.0384";"2.9391";"2.5264";"3.3542";"5.1506";"0.205";"0.6631";"0.1468";"4.9412";"5.7643";"0.013002";"0.031148";"0.2559";"0.4257";"1.1061";"0.0471";"0.4159";"-";"0.1704";"4.5441";"0.2422";"0.9291";"0.6234";"0.0549";"0.003432";"0.2717";"2.7023";"0.0422";"0.1231";"1.2372";"-";"0.1299";"-";"-";"-";"-";"-";"-";"-";"284.1094";"6.0444"
"2023-07";"3.0095";"2.5264";"3.381";"5.1144";"0.2068";"0.6632";"0.1446";"4.9412";"5.7557";"0.013041";"0.031686";"0.2485";"0.4352";"1.1117";"0.0493";"0.4247";"-";"0.1687";"4.4689";"0.2456";"0.93";"0.6216";"0.0544";"0.003482";"0.2641";"2.7824";"0.0422";"0.1211";"1.2167";"-";"0.1291";"-";"-";"-";"-";"-";"-";"-";"280.1027";"6.0056";"2.9949";"2.523";"3.38";"5.1405";"0.2063";"0.6622";"0.1445";"4.9346";"5.7479";"0.012796";"0.031422";"0.2509";"0.4402";"1.119";"0.0489";"0.4257";"-";"0.166";"4.4712";"0.253";"0.9444";"0.6254";"0.0544";"0.003506";"0.2672";"2.7703";"0.0421";"0.1211";"1.2173";"-";"0.1307";"-";"-";"-";"-";"-";"-";"-";"281.2772";"6.0045"
"2023-06";"3.0745";"2.5359";"3.4436";"5.0782";"0.2092";"0.6658";"0.1479";"4.9598";"5.7794";"0.013379";"0.032333";"0.2547";"0.4244";"1.1126";"0.0546";"0.4248";"-";"0.191";"4.5713";"0.2453";"0.9433";"0.6378";"0.0556";"0.003528";"0.2657";"2.8063";"0.0423";"0.1238";"1.2446";"-";"0.1309";"-";"-";"-";"-";"-";"-";"-";"285.544";"6.1002";"3.0299";"2.5377";"3.4515";"5.0769";"0.209";"0.6665";"0.1481";"4.9634";"5.7822";"0.013371";"0.031614";"0.2486";"0.4257";"1.1154";"0.0519";"0.4206";"-";"0.1755";"4.575";"0.2415";"0.942";"0.6299";"0.0558";"0.00346";"0.268";"2.7829";"0.0423";"0.1239";"1.2456";"-";"0.1291";"-";"-";"-";"-";"-";"-";"-";"280.131";"6.0855"
"2023-05";"3.0273";"2.5299";"3.3695";"5.0752";"0.2097";"0.6643";"0.1474";"4.9481";"5.683";"0.013285";"0.033226";"0.2552";"0.4215";"1.0911";"0.0576";"0.4352";"-";"0.2303";"4.5546";"0.2391";"0.9153";"0.6515";"0.0553";"0.003431";"0.257";"2.83";"0.0422";"0.1233";"1.2403";"-";"0.1331";"-";"-";"-";"-";"-";"-";"-";"291.6407";"6.1055";"3.0176";"2.5409";"3.4138";"5.1125";"0.2095";"0.6673";"0.1507";"4.9696";"5.7565";"0.013383";"0.033289";"0.2603";"0.4134";"1.0939";"0.0574";"0.4255";"-";"0.2251";"4.6562";"0.2349";"0.9245";"0.6551";"0.0563";"0.003513";"0.2639";"2.7959";"0.0424";"0.1261";"1.2678";"-";"0.1338";"-";"-";"-";"-";"-";"-";"-";"293.0418";"6.183"
"2023-04";"3.0093";"2.5239";"3.3364";"5.0091";"0.2105";"0.6625";"0.1457";"4.9364";"5.605";"0.013133";"0.033756";"0.249";"0.4282";"1.0638";"0.0555";"0.4349";"-";"0.2329";"4.5045";"0.2476";"0.8955";"0.6537";"0.0549";"0.003399";"0.2492";"2.7958";"0.0421";"0.122";"1.2266";"-";"0.1316";"-";"-";"-";"-";"-";"-";"-";"289.2864";"6.0753";"2.9581";"2.5234";"3.2888";"5.0133";"0.2101";"0.6621";"0.1454";"4.9353";"5.5968";"0.013193";"0.033035";"0.248";"0.4184";"1.0751";"0.0555";"0.4343";"-";"0.231";"4.4915";"0.2444";"0.9024";"0.6489";"0.0549";"0.003353";"0.2489";"2.7538";"0.0421";"0.1217";"1.2232";"-";"0.1317";"-";"-";"-";"-";"-";"-";"-";"286.4296";"6.0514"
"2023-03";"3.0721";"2.5187";"3.3637";"4.9718";"0.2079";"0.6616";"0.1491";"4.9263";"5.5834";"0.012798";"0.034421";"0.2465";"0.4365";"1.0498";"0.0604";"0.4386";"-";"0.2422";"4.6031";"0.2516";"0.8835";"0.6674";"0.0559";"0.003522";"0.2504";"2.856";"0.042";"0.1247";"1.2533";"-";"0.1335";"-";"-";"-";"-";"-";"-";"-";"282.4579";"6.1508";"3.0446";"2.5304";"3.3557";"4.9573";"0.2103";"0.6645";"0.1476";"4.9491";"5.6256";"0.013";"0.0341";"0.2471";"0.4359";"1.0578";"0.0589";"0.439";"-";"0.2371";"4.5463";"0.2557";"0.8924";"0.6616";"0.0553";"0.003484";"0.2519";"2.85";"0.0422";"0.1231";"1.2379";"-";"0.1331";"-";"-";"-";"-";"-";"-";"-";"289.439";"6.1193"
"2023-02";"3.1629";"2.5092";"3.4075";"4.953";"0.2069";"0.6592";"0.1501";"4.9077";"5.539";"0.012752";"0.034468";"0.2436";"0.4482";"1.0348";"0.0625";"0.4393";"-";"0.243";"4.5795";"0.2558";"0.8859";"0.6699";"0.0554";"0.003585";"0.246";"2.8841";"0.0418";"0.124";"1.2468";"-";"0.1345";"-";"-";"-";"-";"-";"-";"-";"273.529";"6.13";"3.1203";"2.5155";"3.4156";"4.9425";"0.2089";"0.6611";"0.1514";"4.92";"5.6088";"0.013003";"0.033933";"0.2468";"0.4484";"1.0431";"0.0619";"0.4446";"-";"0.2456";"4.6376";"0.2518";"0.8916";"0.6685";"0.0561";"0.003505";"0.253";"2.8549";"0.0419";"0.1256";"1.2627";"-";"0.1312";"-";"-";"-";"-";"-";"-";"-";"269.7163";"6.1651"
"2023-01";"3.1728";"2.5169";"3.4014";"4.9432";"0.2054";"0.6618";"0.1582";"4.9227";"5.582";"0.012446";"0.035028";"0.2402";"0.4594";"1.0478";"0.0657";"0.4392";"-";"0.2432";"4.569";"0.2673";"0.8789";"0.6729";"0.0558";"0.003671";"0.2409";"2.9198";"0.042";"0.1237";"1.244";"-";"0.1374";"-";"-";"-";"-";"-";"-";"-";"278.5282";"6.1439";"3.1795";"2.5166";"3.3781";"4.8998";"0.2066";"0.6617";"0.1504";"4.9221";"5.6028";"0.012639";"0.034868";"0.2408";"0.4512";"1.0451";"0.0644";"0.4345";"-";"0.2417";"4.5466";"0.2601";"0.8886";"0.6728";"0.0555";"0.003673";"0.2416";"2.9183";"0.0419";"0.1231";"1.2378";"-";"0.1375";"-";"-";"-";"-";"-";"-";"-";"278.5779";"6.1301"
"2022-12";"3.1355";"2.5168";"3.4196";"4.99";"0.2028";"0.6618";"0.1882";"4.9224";"5.6595";"0.012093";"0.034465";"0.2402";"0.4707";"1.0515";"0.0702";"0.4481";"-";"0.249";"4.6477";"0.2692";"0.885";"0.6666";"0.0563";"0.003591";"0.237";"2.9527";"0.042";"0.1259";"1.2654";"0.6525";"0.1337";"-";"-";"-";"-";"-";"-";"-";"268.3759";"6.181";"3.1491";"2.5295";"3.4232";"5.0289";"0.2049";"0.6653";"0.1872";"4.9474";"5.5878";"0.012354";"0.035153";"0.2428";"0.4708";"1.0557";"0.0637";"0.4445";"-";"0.2473";"4.6346";"0.2734";"0.8768";"0.6685";"0.056";"0.003683";"0.2377";"2.9352";"0.0422";"0.1255";"1.262";"0.6565";"0.1341";"-";"-";"-";"-";"-";"-";"-";"270.6553";"6.1883"
"2022-11";"3.179";"2.512";"3.59";"4.9917";"0.2016";"0.6605";"0.1975";"4.9131";"5.6543";"0.012074";"0.03387";"0.2511";"0.4749";"1.0458";"0.0791";"0.4516";"-";"0.2592";"4.8248";"0.2753";"0.9151";"0.6718";"0.059";"0.00355";"0.2478";"2.9181";"0.0419";"0.1308";"1.3136";"0.6515";"0.1324";"-";"-";"-";"-";"-";"-";"-";"267.2213";"6.2772";"3.1941";"2.5147";"3.5228";"4.989";"0.2021";"0.6614";"0.1929";"4.9184";"5.6933";"0.012093";"0.034339";"0.2427";"0.4759";"1.0503";"0.0776";"0.4516";"-";"0.2543";"4.7383";"0.2793";"0.8831";"0.6612";"0.058";"0.003572";"0.2485";"2.958";"0.0419";"0.1289";"1.2901";"0.6514";"0.1339";"-";"-";"-";"-";"-";"-";"-";"267.3958";"6.227"
"2022-10";"3.1852";"2.5189";"3.6545";"5.0318";"0.2008";"0.6623";"0.2494";"4.9266";"5.6569";"0.011786";"0.034057";"0.2584";"0.4735";"1.0251";"0.0812";"0.4499";"-";"0.2697";"5.014";"0.2763";"0.9525";"0.6969";"0.0609";"0.003509";"0.2506";"2.8478";"0.042";"0.1359";"1.3651";"0.6543";"0.1321";"-";"-";"-";"-";"-";"-";"-";"268.3498";"6.422";"3.1613";"2.5125";"3.6198";"4.946";"0.2006";"0.6601";"0.2049";"4.9141";"5.7084";"0.011973";"0.033288";"0.2556";"0.4769";"1.0421";"0.08";"0.4499";"-";"0.2659";"4.9487";"0.2698";"0.9344";"0.6781";"0.0597";"0.003465";"0.2491";"2.8676";"0.0419";"0.134";"1.3473";"0.6525";"0.1298";"-";"-";"-";"-";"-";"-";"-";"260.5682";"6.3527"
"2022-09";"3.3093";"2.5094";"3.719";"5.0913";"0.1997";"0.66";"0.2555";"4.908";"5.6137";"0.012152";"0.034637";"0.2549";"0.483";"1.0348";"0.0825";"0.4552";"-";"0.2703";"4.9531";"0.282";"0.9479";"0.7053";"0.0617";"0.003549";"0.247";"2.9392";"0.0418";"0.1343";"1.3485";"0.6525";"0.1337";"-";"-";"-";"-";"-";"-";"-";"268.0251";"6.3934";"3.2777";"2.5304";"3.6857";"5.1652";"0.2013";"0.6655";"0.2583";"4.949";"5.6367";"0.011728";"0.034963";"0.2606";"0.4692";"1.0127";"0.0863";"0.4532";"-";"0.2721";"5.0469";"0.281";"0.935";"0.7102";"0.062";"0.003519";"0.2512";"2.8802";"0.0422";"0.1369";"1.374";"0.6576";"0.1339";"-";"-";"-";"-";"-";"-";"-";"270.7253";"6.4745"
"2022-08";"3.3638";"2.5029";"3.7447";"5.0502";"0.1992";"0.658";"0.2525";"4.8953";"5.7955";"0.012172";"0.035759";"0.2504";"0.4978";"1.0362";"0.0796";"0.4659";"-";"0.268";"4.8344";"0.2894";"0.9394";"0.7106";"0.0608";"0.003659";"0.24";"3.0275";"0.0417";"0.1311";"1.3162";"0.6516";"0.1348";"-";"-";"-";"-";"-";"-";"-";"274.0213";"6.3557";"3.3385";"2.4851";"3.7133";"4.9747";"0.1981";"0.6535";"0.2533";"4.8605";"5.6662";"0.012016";"0.035095";"0.2514";"0.4899";"1.0282";"0.08";"0.4548";"-";"0.2678";"4.8707";"0.2857";"0.9507";"0.7061";"0.0613";"0.003625";"0.2408";"2.9794";"0.0414";"0.132";"1.3261";"0.6467";"0.1335";"-";"-";"-";"-";"-";"-";"-";"267.9984";"6.3393"
"2022-07";"3.3255";"2.5257";"3.7486";"5.0019";"0.2008";"0.6638";"0.2567";"4.9398";"5.8162";"0.012223";"0.03548";"0.2517";"0.4846";"1.035";"0.0816";"0.467";"-";"0.2776";"4.8507";"0.2879";"0.903";"0.7206";"0.0609";"0.003708";"0.2364";"3.006";"0.0421";"0.1534";"1.3206";"0.657";"0.1334";"-";"-";"-";"-";"-";"-";"-";"271.0755";"6.3912";"3.38";"2.5233";"3.7723";"5.0783";"0.2006";"0.6629";"0.2559";"4.9351";"5.8793";"0.012262";"0.036286";"0.252";"0.4979";"1.0441";"0.0778";"0.475";"-";"0.2701";"4.8412";"0.2928";"0.9338";"0.7188";"0.061";"0.003714";"0.2384";"3.0453";"0.0421";"0.1313";"1.318";"0.6565";"0.1333";"-";"-";"-";"-";"-";"-";"-";"273.842";"6.3969"
"2022-06";"3.2834";"2.5282";"3.6483";"4.8279";"0.2";"0.6647";"0.2496";"4.9448";"5.7615";"0.012465";"0.034883";"0.2443";"0.4797";"1.0638";"0.0825";"0.4663";"-";"0.2747";"4.6756";"0.296";"0.9264";"0.6986";"0.0599";"0.003652";"0.234";"2.9692";"0.0421";"0.1585";"1.273";"0.6571";"0.1337";"-";"-";"-";"-";"-";"-";"-";"276.1866";"6.2569";"3.2654";"2.5285";"3.6729";"4.9466";"0.1999";"0.6648";"0.2523";"4.9454";"5.7525";"0.012451";"0.034792";"0.2459";"0.4783";"1.0552";"0.087";"0.4617";"-";"0.2842";"4.7424";"0.2916";"0.9151";"0.7083";"0.06";"0.003652";"0.2347";"2.9519";"0.0421";"0.1613";"1.2911";"0.6567";"0.1342";"-";"-";"-";"-";"-";"-";"-";"276.3032";"6.3041"
"2022-05";"3.2997";"2.5289";"3.6414";"4.7769";"0.1998";"0.6648";"0.2536";"4.9462";"5.8222";"0.012865";"0.036313";"0.2472";"0.4874";"1.0639";"0.0727";"0.4714";"-";"0.2995";"4.6776";"0.2943";"0.9431";"0.6984";"0.0605";"0.003691";"0.2336";"2.996";"0.0421";"0.1579";"1.2735";"0.6564";"0.1359";"-";"-";"-";"-";"-";"-";"-";"278.5573";"6.2806";"3.3078";"2.5273";"3.6318";"4.8016";"0.2";"0.6644";"0.2478";"4.943";"5.8057";"0.012536";"0.035996";"0.2406";"0.4887";"1.0791";"0.0729";"0.4702";"-";"0.2802";"4.6037";"0.2957";"0.9684";"0.6915";"0.0593";"0.003718";"0.2351";"3.0011";"0.0421";"0.1558";"1.2534";"0.6554";"0.1345";"-";"-";"-";"-";"-";"-";"-";"273.8401";"6.2243"
"2022-04";"3.3768";"2.5277";"3.62";"4.8438";"0.2023";"0.6646";"0.2477";"4.9437";"5.9179";"0.013169";"0.036193";"0.2473";"0.514";"1.0635";"0.0573";"0.479";"-";"0.3102";"4.5638";"0.3058";"0.9638";"0.7111";"0.0599";"0.003698";"0.2281";"3.096";"0.042";"0.1545";"1.2425";"0.6541";"0.1352";"-";"-";"-";"-";"-";"-";"-";"284.8417";"6.2331";"3.349";"2.5298";"3.6702";"4.829";"0.2016";"0.6649";"0.253";"4.948";"5.8793";"0.013122";"0.035869";"0.2543";"0.5034";"1.0602";"0.0657";"0.479";"-";"0.3154";"4.6774";"0.2941";"0.947";"0.7096";"0.0612";"0.003716";"0.2308";"3.0529";"0.042";"0.1547";"1.2734";"0.6538";"0.1365";"-";"-";"-";"-";"-";"-";"-";"287.9962";"6.2922"
"2022-03";"3.3109";"2.5299";"3.5478";"4.8303";"0.1981";"0.665";"0.2699";"4.9481";"5.9151";"0.013137";"0.037871";"0.2443";"0.5083";"1.0403";"0.0423";"0.4691";"-";"0.3071";"4.4909";"0.2997";"0.9008";"0.7078";"0.0589";"0.003677";"0.2184";"3.0834";"0.0421";"0.1494";"1.2227";"0.6536";"0.135";"-";"-";"-";"-";"-";"-";"-";"281.2215";"6.2086";"3.3307";"2.5291";"3.5514";"4.8196";"0.2023";"0.665";"0.2433";"4.9466";"5.8374";"0.01337";"0.036479";"0.2426";"0.5101";"1.0627";"0.0546";"0.4783";"-";"0.3034";"4.4508";"0.3068";"0.9329";"0.7018";"0.0588";"0.00367";"0.224";"3.0854";"0.042";"0.1507";"1.2117";"0.6531";"0.1338";"-";"-";"-";"-";"-";"-";"-";"275.4789";"6.1553"
"2022-02";"3.1243";"2.5286";"3.4281";"4.7273";"0.2024";"0.6647";"0.2773";"4.9456";"5.9038";"0.013857";"0.037862";"0.2429";"0.4916";"1.0873";"0.0561";"0.4693";"-";"0.319";"4.361";"0.2864";"0.839";"0.6874";"0.0582";"0.00364";"0.2133";"2.9107";"0.0421";"0.1527";"1.1873";"0.6565";"0.1336";"-";"-";"-";"-";"-";"-";"-";"260.5113";"6.1101";"3.1892";"2.5298";"3.4677";"4.7957";"0.1981";"0.665";"0.2815";"4.948";"5.9187";"0.013399";"0.038253";"0.2433";"0.4976";"1.0562";"0.045";"0.4673";"-";"0.32";"4.4218";"0.286";"0.8563";"0.7011";"0.0587";"0.003676";"0.2154";"2.9744";"0.0421";"0.1467";"1.2038";"0.654";"0.1353";"-";"-";"-";"-";"-";"-";"-";"270.7414";"6.1664"
"2022-01";"3.1382";"2.5282";"3.4626";"4.752";"0.2021";"0.6646";"0.2779";"4.9448";"5.9242";"0.013786";"0.037988";"0.2434";"0.4945";"1.0859";"0.0572";"0.4781";"-";"0.3221";"4.3681";"0.282";"0.7883";"0.6871";"0.0587";"0.003652";"0.2132";"2.9482";"0.0421";"0.1559";"1.1892";"0.6572";"0.1315";"-";"-";"-";"-";"-";"-";"-";"254.9726";"6.117";"3.1216";"2.5292";"3.4757";"4.7472";"0.2025";"0.6647";"0.2813";"4.9468";"5.9528";"0.013818";"0.038341";"0.2478";"0.4944";"1.0759";"0.057";"0.472";"-";"0.3287";"4.4284";"0.2852";"0.825";"0.6962";"0.0593";"0.003661";"0.2134";"2.9109";"0.0421";"0.1558";"1.2057";"0.6571";"0.1329";"-";"-";"-";"-";"-";"-";"-";"255.1269";"6.1688"
"2021-12";"3.1355";"2.5303";"3.4218";"4.7559";"0.1961";"0.6655";"0.2786";"4.9489";"5.8287";"0.013463";"0.038419";"0.2469";"0.4884";"1.0725";"0.0593";"0.4818";"-";"0.3257";"4.3789";"0.2759";"0.774";"0.6877";"0.0581";"0.003697";"0.2096";"2.9716";"0.0421";"0.1609";"1.1922";"0.6581";"0.1306";"-";"-";"-";"-";"-";"-";"-";"252.291";"6.1224";"3.1736";"2.5299";"3.4344";"4.7884";"0.199";"0.6653";"0.2782";"4.9481";"5.8994";"0.013391";"0.037967";"0.2463";"0.4957";"1.0768";"0.0583";"0.4828";"-";"0.3277";"4.3707";"0.2745";"0.7845";"0.6887";"0.0588";"0.003679";"0.2134";"2.9885";"0.0421";"0.1599";"1.1899";"0.6582";"0.1317";"-";"-";"-";"-";"-";"-";"-";"255.6927";"6.119"
"2021-11";"3.1711";"2.5303";"3.4526";"4.7007";"0.1949";"0.6654";"0.2758";"4.9488";"5.8356";"0.013586";"0.038009";"0.246";"0.4973";"1.0651";"0.0596";"0.4931";"-";"0.4128";"4.3345";"0.2799";"0.7803";"0.6783";"0.0582";"0.003662";"0.2082";"3.0457";"0.0421";"0.1638";"1.1801";"0.6582";"0.1311";"-";"-";"-";"-";"-";"-";"-";"253.8596";"6.0826";"3.135";"2.5304";"3.4429";"4.7366";"0.1925";"0.6655";"0.2792";"4.949";"5.8544";"0.013432";"0.038663";"0.2474";"0.4827";"1.0536";"0.0585";"0.4799";"-";"0.3462";"4.3853";"0.2719";"0.7817";"0.6872";"0.0584";"0.003683";"0.1995";"2.9949";"0.0421";"0.1614";"1.1939";"0.6575";"0.1303";"-";"-";"-";"-";"-";"-";"-";"253.3079";"6.1308"
