"2026-02";"3.0391";"-";"3.1564";"5.5728";"0.21";"0.682";"0.0913";"5.0946";"5.8538";"0.013458";"0.027766";"0.2531";"0.4499";"1.2079";"0.056";"0.4792";"-";"0.0985";"4.3078";"0.2691";"0.8271";"0.6236";"0.0475";"0.002975";"0.25";"2.5882";"0.0434";"0.0998";"1.1729";"-";"0.1379";"0.5511";"1.3879";"0.000256";"0.0741";"0.035189";"1.1011";"3.4006";"694.4003";"5.9273";"3.0701";"-";"3.1587";"5.5866";"0.2101";"0.6819";"0.09";"5.0953";"5.8182";"0.013563";"0.027684";"0.2522";"0.4539";"1.2067";"0.0558";"0.4771";"-";"0.0981";"4.3179";"0.2712";"0.84";"0.6296";"0.0474";"0.002998";"0.2511";"2.5845";"0.0434";"0.1002";"1.1757";"-";"0.1389";"0.5519";"1.3748";"0.000257";"0.0749";"0.035557";"1.1097";"3.4112";"718.6797";"5.936"
"2026-01";"2.9462";"-";"3.1463";"5.4942";"0.2098";"0.6817";"0.0919";"5.0924";"5.8668";"0.013254";"0.027677";"0.2558";"0.4367";"1.2088";"0.0559";"0.4773";"-";"0.1002";"4.3372";"0.2667";"0.8138";"0.6225";"0.0477";"0.002974";"0.2462";"2.5379";"0.0434";"0.1006";"1.1809";"-";"0.1387";"0.5562";"1.3801";"0.000258";"0.0733";"0.034835";"1.0784";"3.3889";"669.2889";"5.942";"2.9908";"-";"3.1577";"5.5598";"0.2094";"0.6825";"0.0911";"5.0961";"5.8755";"0.013352";"0.027727";"0.2532";"0.4455";"1.2103";"0.0565";"0.4827";"-";"0.0982";"4.2742";"0.2677";"0.823";"0.6148";"0.0465";"0.002964";"0.2469";"2.5856";"0.0434";"0.0996";"1.1638";"-";"0.1361";"0.5474";"1.3808";"0.000255";"0.0726";"0.035146";"1.0843";"3.3713";"699.3181";"5.8999"
"2025-12";"2.8883";"2.6031";"3.1497";"5.4563";"0.2098";"0.6816";"0.0914";"5.0912";"5.8183";"0.013224";"0.027884";"0.2572";"0.4299";"1.2053";"0.0553";"0.4675";"-";"0.1018";"4.3473";"0.2583";"0.797";"0.6172";"0.0483";"0.002964";"0.2405";"2.5147";"0.0434";"0.1029";"1.1837";"-";"0.1376";"0.5587";"1.3532";"0.000261";"0.0738";"0.034354";"1.0627";"3.367";"601.4816";"5.9405";"2.9009";"2.6068";"3.1677";"5.4743";"0.2107";"0.6826";"0.0911";"5.0985";"5.8335";"0.01325";"0.02772";"0.258";"0.4315";"1.2073";"0.0533";"0.4716";"-";"0.1008";"4.3417";"0.2617";"0.7926";"0.6211";"0.0483";"0.003004";"0.2417";"2.5025";"0.0435";"0.1025";"1.1822";"-";"0.1374";"0.5578";"1.3623";"0.00026";"0.0736";"0.034637";"1.0699";"3.376";"601.0836";"5.9433"
"2025-11";"2.863";"2.6009";"3.1318";"5.4754";"0.2099";"0.6812";"0.0929";"5.0868";"5.7784";"0.013237";"0.028369";"0.2582";"0.4334";"1.2";"0.0548";"0.4629";"-";"0.104";"4.4024";"0.2556";"0.8244";"0.6194";"0.0496";"0.003014";"0.239";"2.489";"0.0434";"0.1045";"1.1986";"-";"0.1359";"0.566";"1.3531";"0.000264";"0.0747";"0.034678";"1.0597";"3.3783";"578.4147";"5.9763";"2.8732";"2.6028";"3.1362";"5.4594";"0.2106";"0.6816";"0.0924";"5.0906";"5.8158";"0.013349";"0.028175";"0.2585";"0.4328";"1.201";"0.0565";"0.4634";"-";"0.1035";"4.4036";"0.2567";"0.8221";"0.6223";"0.0492";"0.002994";"0.2401";"2.5132";"0.0434";"0.1042";"1.199";"-";"0.1367";"0.5657";"1.349";"0.000264";"0.0751";"0.03435";"1.0656";"3.3914";"590.0213";"5.9822"
"2025-10";"2.8597";"2.6011";"3.1235";"5.4774";"0.2093";"0.6812";"0.0919";"5.0873";"5.8371";"0.013048";"0.028873";"0.2581";"0.4358";"1.1974";"0.0541";"0.4635";"-";"0.1044";"4.3705";"0.253";"0.8114";"0.6138";"0.0494";"0.00307";"0.2372";"2.5177";"0.0434";"0.1048";"1.1899";"-";"0.1342";"0.5621";"1.3309";"0.000263";"0.0749";"0.035774";"1.0366";"3.3731";"570.2514";"5.9635";"2.8748";"2.6";"3.1364";"5.4787";"0.2091";"0.681";"0.093";"5.0851";"5.7713";"0.013107";"0.028511";"0.2575";"0.4356";"1.1947";"0.0544";"0.4652";"-";"0.1048";"4.3947";"0.2535";"0.8162";"0.6178";"0.0495";"0.003079";"0.2368";"2.5154";"0.0434";"0.1049";"1.1965";"-";"0.136";"0.5655";"1.3537";"0.000264";"0.0749";"0.035167";"1.0494";"3.3788";"566.156";"5.9709"
"2025-09";"2.851";"2.5942";"3.1264";"5.4273";"0.2084";"0.6797";"0.0896";"5.0737";"5.8391";"0.012953";"0.029241";"0.2599";"0.4348";"1.1915";"0.0522";"0.4613";"-";"0.1045";"4.3231";"0.2478";"0.8047";"0.6069";"0.049";"0.003104";"0.2337";"2.5447";"0.0433";"0.1047";"1.177";"-";"0.1351";"0.5553";"1.2931";"0.000262";"0.0755";"0.035481";"1.0262";"3.3652";"508.435";"5.9285";"2.8576";"2.598";"3.1083";"5.4253";"0.2088";"0.6807";"0.0903";"5.0811";"5.8159";"0.013001";"0.029233";"0.2591";"0.4327";"1.1893";"0.0522";"0.4589";"-";"0.1039";"4.3247";"0.2501";"0.8124";"0.6074";"0.0487";"0.003083";"0.2358";"2.5056";"0.0434";"0.1051";"1.1774";"-";"0.1335";"0.5559";"1.3097";"0.00026";"0.0743";"0.035682";"1.028";"3.3533";"528.0976";"5.9308"
"2025-08";"2.8268";"2.59";"3.1555";"5.3982";"0.2066";"0.6787";"0.0898";"5.0654";"5.8533";"0.012774";"0.029489";"0.2588";"0.4269";"1.1884";"0.0543";"0.4538";"-";"0.1066";"4.3562";"0.2455";"0.7989";"0.6072";"0.0497";"0.003132";"0.2327";"2.5684";"0.0432";"0.1051";"1.186";"-";"0.1342";"0.5565";"1.2821";"0.000267";"0.0762";"0.035396";"1.0303";"3.3878";"470.5391";"5.9494";"2.8368";"2.5934";"3.1586";"5.4228";"0.2071";"0.6795";"0.0894";"5.0722";"5.85";"0.012777";"0.029544";"0.2612";"0.4314";"1.1888";"0.0539";"0.4587";"-";"0.1056";"4.3443";"0.2447";"0.8023";"0.609";"0.0492";"0.003122";"0.2323";"2.558";"0.0433";"0.1051";"1.1828";"-";"0.1341";"0.5574";"1.3014";"0.000264";"0.0759";"0.03547";"1.0282";"3.3811";"476.0494";"5.9475"
"2025-07";"2.8383";"2.5933";"3.1718";"5.4395";"0.206";"0.6797";"0.0881";"5.072";"5.8641";"0.012707";"0.029546";"0.2564";"0.4277";"1.1922";"0.055";"0.453";"-";"0.1077";"4.3405";"0.2445";"0.7856";"0.6052";"0.0504";"0.00315";"0.2322";"2.6039";"0.0433";"0.1038";"1.1817";"-";"0.1338";"0.553";"1.2951";"0.000266";"0.0763";"0.035605";"1.0245";"3.3886";"466.571";"5.9422";"2.8627";"2.5956";"3.2057";"5.4564";"0.2064";"0.6803";"0.0911";"5.0764";"5.8741";"0.012693";"0.029613";"0.2572";"0.4301";"1.1893";"0.0555";"0.4548";"-";"0.1091";"4.4386";"0.2451";"0.7959";"0.6168";"0.0506";"0.003184";"0.2355";"2.6221";"0.0433";"0.1064";"1.2084";"-";"0.1359";"0.5654";"1.3106";"0.000269";"0.0761";"0.035699";"1.0397";"3.4231";"472.1813";"6.015"
"2025-06";"2.8453";"2.5804";"3.2018";"5.3815";"0.2035";"0.6765";"0.0877";"5.0468";"5.9366";"0.012553";"0.030307";"0.2566";"0.4355";"1.1834";"0.0556";"0.4584";"-";"0.1108";"4.3797";"0.2453";"0.7891";"0.6099";"0.051";"0.003206";"0.23";"2.6388";"0.043";"0.1052";"1.1925";"-";"0.1343";"0.558";"1.2584";"0.000269";"0.0777";"0.035193";"1.0326";"3.4129";"472.3664";"5.9767";"2.8288";"2.5962";"3.1681";"5.4345";"0.2053";"0.6806";"0.0874";"5.0777";"5.9329";"0.012709";"0.030041";"0.2573";"0.4293";"1.197";"0.0552";"0.4559";"-";"0.1087";"4.3329";"0.2438";"0.7909";"0.6048";"0.0506";"0.003199";"0.2297";"2.6268";"0.0433";"0.1037";"1.1798";"-";"0.1333";"0.5519";"1.2855";"0.000267";"0.0767";"0.035708";"1.0291";"3.3988";"457.9246";"5.9517"
"2025-05";"2.8933";"2.5917";"3.2396";"5.4165";"0.2034";"0.6795";"0.0895";"5.069";"6.006";"0.012549";"0.03105";"0.2597";"0.4371";"1.1917";"0.0558";"0.4657";"-";"0.1156";"4.4923";"0.2482";"0.7925";"0.6228";"0.0527";"0.003234";"0.2312";"2.668";"0.0432";"0.1081";"1.2231";"-";"0.1364";"0.5756";"1.261";"0.000274";"0.0808";"0.034835";"1.0535";"3.4734";"474.7122";"6.08";"2.8689";"2.5891";"3.2358";"5.4252";"0.2033";"0.6789";"0.0899";"5.0639";"6.0206";"0.012544";"0.031035";"0.259";"0.4387";"1.1913";"0.0568";"0.4656";"-";"0.1138";"4.4699";"0.2502";"0.7883";"0.6212";"0.0523";"0.003241";"0.2317";"2.6624";"0.0432";"0.1076";"1.217";"-";"0.1363";"0.5698";"1.2713";"0.000275";"0.0801";"0.035117";"1.0493";"3.4626";"473.9101";"6.0642"
